Id	Name	Area
144I	SNegVO Order	Word Order
144J	SVNegO Order	Word Order
144K	SVONeg Order	Word Order
144L	The Position of Negative Morphemes in SOV Languages	Word Order
144M	Multiple Negative Constructions in SOV Languages	Word Order
144N	Obligatory Double Negation in SOV languages	Word Order
144O	Optional Double Negation in SOV languages	Word Order
144P	NegSOV Order	Word Order
144Q	SNegOV Order	Word Order
144R	SONegV Order	Word Order
144S	SOVNeg Order	Word Order
144T	The Position of Negative Morphemes in Verb-Initial Languages	Word Order
144U	Double negation in verb-initial languages	Word Order
144V	Verb-Initial with Preverbal Negative	Word Order
144W	Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object	Word Order
144X	Verb-Initial with Clause-Final Negative	Word Order
144Y	The Position of Negative Morphemes in Object-Initial Languages	Word Order
