Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
mi <obj je >nsubj film	mi	je	film	2	26.2	ABC	"pattern {B [form=""je""]; A [form=""mi""]; C [form=""film""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22mi%22%5D%3B%20C%20%5Bform%3D%22film%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	je
mi <obj zdi >nsubj to	mi	zdi	to	2	26.2	ABC	"pattern {B [form=""zdi""]; A [form=""mi""]; C [form=""to""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22zdi%22%5D%3B%20A%20%5Bform%3D%22mi%22%5D%3B%20C%20%5Bform%3D%22to%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zdi
poklic <nsubj mi <obj je	poklic	mi	je	2	26.2	ABC	"pattern {C [form=""je""]; A [form=""poklic""]; B [form=""mi""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22poklic%22%5D%3B%20B%20%5Bform%3D%22mi%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	je
to <nsubj me <obj zanima	to	me	zanima	2	26.2	ABC	"pattern {C [form=""zanima""]; A [form=""to""]; B [form=""me""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22zanima%22%5D%3B%20A%20%5Bform%3D%22to%22%5D%3B%20B%20%5Bform%3D%22me%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	zanima
to <nsubj mi <obj je	to	mi	je	2	26.2	ABC	"pattern {C [form=""je""]; A [form=""to""]; B [form=""mi""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22to%22%5D%3B%20B%20%5Bform%3D%22mi%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	je
Afganistanca <nsubj našla >obj kovčka	Afganistanca	našla	kovčka	1	13.1	ABC	"pattern {B [form=""našla""]; A [form=""Afganistanca""]; C [form=""kovčka""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22na%C5%A1la%22%5D%3B%20A%20%5Bform%3D%22Afganistanca%22%5D%3B%20C%20%5Bform%3D%22kov%C4%8Dka%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	našla
David <nsubj imel >obj priložnost	David	imel	priložnost	1	13.1	ABC	"pattern {B [form=""imel""]; A [form=""David""]; C [form=""priložnost""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22imel%22%5D%3B%20A%20%5Bform%3D%22David%22%5D%3B%20C%20%5Bform%3D%22prilo%C5%BEnost%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	imel
Hegel <nsubj uporablja >obj izraz	Hegel	uporablja	izraz	1	13.1	ABC	"pattern {B [form=""uporablja""]; A [form=""Hegel""]; C [form=""izraz""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22uporablja%22%5D%3B%20A%20%5Bform%3D%22Hegel%22%5D%3B%20C%20%5Bform%3D%22izraz%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	uporablja
Istro <obj osvojili >nsubj partizani	Istro	osvojili	partizani	1	13.1	ABC	"pattern {B [form=""osvojili""]; A [form=""Istro""]; C [form=""partizani""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22osvojili%22%5D%3B%20A%20%5Bform%3D%22Istro%22%5D%3B%20C%20%5Bform%3D%22partizani%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	osvojili
Italijani <nsubj imajo >obj to	Italijani	imajo	to	1	13.1	ABC	"pattern {B [form=""imajo""]; A [form=""Italijani""]; C [form=""to""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22imajo%22%5D%3B%20A%20%5Bform%3D%22Italijani%22%5D%3B%20C%20%5Bform%3D%22to%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	imajo
Izrael <nsubj vpoklical >obj rezervistov	Izrael	vpoklical	rezervistov	1	13.1	ABC	"pattern {B [form=""vpoklical""]; A [form=""Izrael""]; C [form=""rezervistov""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22vpoklical%22%5D%3B%20A%20%5Bform%3D%22Izrael%22%5D%3B%20C%20%5Bform%3D%22rezervistov%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	vpoklical
Jaz <nsubj bi >obj to	Jaz	bi	to	1	13.1	ABC	"pattern {B [form=""bi""]; A [form=""Jaz""]; C [form=""to""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22bi%22%5D%3B%20A%20%5Bform%3D%22Jaz%22%5D%3B%20C%20%5Bform%3D%22to%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	bi
Jaz <nsubj predavala >obj ex	Jaz	predavala	ex	1	13.1	ABC	"pattern {B [form=""predavala""]; A [form=""Jaz""]; C [form=""ex""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22predavala%22%5D%3B%20A%20%5Bform%3D%22Jaz%22%5D%3B%20C%20%5Bform%3D%22ex%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	predavala
Jernej <nsubj ima >obj vlogi	Jernej	ima	vlogi	1	13.1	ABC	"pattern {B [form=""ima""]; A [form=""Jernej""]; C [form=""vlogi""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22Jernej%22%5D%3B%20C%20%5Bform%3D%22vlogi%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Joža <nsubj spoznala >obj mene	Joža	spoznala	mene	1	13.1	ABC	"pattern {B [form=""spoznala""]; A [form=""Joža""]; C [form=""mene""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22spoznala%22%5D%3B%20A%20%5Bform%3D%22Jo%C5%BEa%22%5D%3B%20C%20%5Bform%3D%22mene%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	spoznala
Jure <nsubj to <obj opravil	Jure	to	opravil	1	13.1	ABC	"pattern {C [form=""opravil""]; A [form=""Jure""]; B [form=""to""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22opravil%22%5D%3B%20A%20%5Bform%3D%22Jure%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	opravil
Kristusa <obj odigra >nsubj igralec	Kristusa	odigra	igralec	1	13.1	ABC	"pattern {B [form=""odigra""]; A [form=""Kristusa""]; C [form=""igralec""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22odigra%22%5D%3B%20A%20%5Bform%3D%22Kristusa%22%5D%3B%20C%20%5Bform%3D%22igralec%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	odigra
Ljubljana <nsubj dobila >obj cesto	Ljubljana	dobila	cesto	1	13.1	ABC	"pattern {B [form=""dobila""]; A [form=""Ljubljana""]; C [form=""cesto""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22dobila%22%5D%3B%20A%20%5Bform%3D%22Ljubljana%22%5D%3B%20C%20%5Bform%3D%22cesto%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobila
Ministrstvo <nsubj pripravila >obj nabor	Ministrstvo	pripravila	nabor	1	13.1	ABC	"pattern {B [form=""pripravila""]; A [form=""Ministrstvo""]; C [form=""nabor""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22pripravila%22%5D%3B%20A%20%5Bform%3D%22Ministrstvo%22%5D%3B%20C%20%5Bform%3D%22nabor%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pripravila
Montessori <nsubj ima >obj svoje	Montessori	ima	svoje	1	13.1	ABC	"pattern {B [form=""ima""]; A [form=""Montessori""]; C [form=""svoje""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22Montessori%22%5D%3B%20C%20%5Bform%3D%22svoje%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Nina <nsubj nima >obj predstav	Nina	nima	predstav	1	13.1	ABC	"pattern {B [form=""nima""]; A [form=""Nina""]; C [form=""predstav""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22nima%22%5D%3B%20A%20%5Bform%3D%22Nina%22%5D%3B%20C%20%5Bform%3D%22predstav%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	nima
Poljaki <nsubj tekmo <obj igrali	Poljaki	tekmo	igrali	1	13.1	ABC	"pattern {C [form=""igrali""]; A [form=""Poljaki""]; B [form=""tekmo""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22igrali%22%5D%3B%20A%20%5Bform%3D%22Poljaki%22%5D%3B%20B%20%5Bform%3D%22tekmo%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	igrali
Radio <nsubj ima >obj napovedovalce	Radio	ima	napovedovalce	1	13.1	ABC	"pattern {B [form=""ima""]; A [form=""Radio""]; C [form=""napovedovalce""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22Radio%22%5D%3B%20C%20%5Bform%3D%22napovedovalce%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Razbor <nsubj komuni <obj prodal	Razbor	komuni	prodal	1	13.1	ABC	"pattern {C [form=""prodal""]; A [form=""Razbor""]; B [form=""komuni""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22prodal%22%5D%3B%20A%20%5Bform%3D%22Razbor%22%5D%3B%20B%20%5Bform%3D%22komuni%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	prodal
Romi <nsubj izobrazbe <obj pojmujejo	Romi	izobrazbe	pojmujejo	1	13.1	ABC	"pattern {C [form=""pojmujejo""]; A [form=""Romi""]; B [form=""izobrazbe""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22pojmujejo%22%5D%3B%20A%20%5Bform%3D%22Romi%22%5D%3B%20B%20%5Bform%3D%22izobrazbe%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pojmujejo
Slovenija <nsubj ima >obj stališča	Slovenija	ima	stališča	1	13.1	ABC	"pattern {B [form=""ima""]; A [form=""Slovenija""]; C [form=""stališča""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22Slovenija%22%5D%3B%20C%20%5Bform%3D%22stali%C5%A1%C4%8Da%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Slovenija <nsubj je >obj trgu	Slovenija	je	trgu	1	13.1	ABC	"pattern {B [form=""je""]; A [form=""Slovenija""]; C [form=""trgu""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22Slovenija%22%5D%3B%20C%20%5Bform%3D%22trgu%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	je
Slovenija <nsubj namenila >obj vrsto	Slovenija	namenila	vrsto	1	13.1	ABC	"pattern {B [form=""namenila""]; A [form=""Slovenija""]; C [form=""vrsto""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22namenila%22%5D%3B%20A%20%5Bform%3D%22Slovenija%22%5D%3B%20C%20%5Bform%3D%22vrsto%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	namenila
Slovenija <nsubj prepevala >obj Samo	Slovenija	prepevala	Samo	1	13.1	ABC	"pattern {B [form=""prepevala""]; A [form=""Slovenija""]; C [form=""Samo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22prepevala%22%5D%3B%20A%20%5Bform%3D%22Slovenija%22%5D%3B%20C%20%5Bform%3D%22Samo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	prepevala
