Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
AST <nsubj ponuja >obj Bravo	AST	ponuja	Bravo	1	3.7	ABC	"pattern {B [form=""ponuja""]; A [form=""AST""]; C [form=""Bravo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ponuja%22%5D%3B%20A%20%5Bform%3D%22AST%22%5D%3B%20C%20%5Bform%3D%22Bravo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ponuja
Aaron <nsubj povezala >obj naravnanost	Aaron	povezala	naravnanost	1	3.7	ABC	"pattern {B [form=""povezala""]; A [form=""Aaron""]; C [form=""naravnanost""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22povezala%22%5D%3B%20A%20%5Bform%3D%22Aaron%22%5D%3B%20C%20%5Bform%3D%22naravnanost%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	povezala
Adam <nsubj pogledal >obj doktorja	Adam	pogledal	doktorja	1	3.7	ABC	"pattern {B [form=""pogledal""]; A [form=""Adam""]; C [form=""doktorja""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pogledal%22%5D%3B%20A%20%5Bform%3D%22Adam%22%5D%3B%20C%20%5Bform%3D%22doktorja%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pogledal
Adaptec <nsubj prilaga >obj program	Adaptec	prilaga	program	1	3.7	ABC	"pattern {B [form=""prilaga""]; A [form=""Adaptec""]; C [form=""program""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prilaga%22%5D%3B%20A%20%5Bform%3D%22Adaptec%22%5D%3B%20C%20%5Bform%3D%22program%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	prilaga
Ademar <nsubj dosegel >obj zadetka	Ademar	dosegel	zadetka	1	3.7	ABC	"pattern {B [form=""dosegel""]; A [form=""Ademar""]; C [form=""zadetka""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dosegel%22%5D%3B%20A%20%5Bform%3D%22Ademar%22%5D%3B%20C%20%5Bform%3D%22zadetka%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dosegel
Adrenalin <nsubj zniža >obj silovitost	Adrenalin	zniža	silovitost	1	3.7	ABC	"pattern {B [form=""zniža""]; A [form=""Adrenalin""]; C [form=""silovitost""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zni%C5%BEa%22%5D%3B%20A%20%5Bform%3D%22Adrenalin%22%5D%3B%20C%20%5Bform%3D%22silovitost%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zniža
Adria <nsubj plačevala >obj polete	Adria	plačevala	polete	1	3.7	ABC	"pattern {B [form=""plačevala""]; A [form=""Adria""]; C [form=""polete""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pla%C4%8Devala%22%5D%3B%20A%20%5Bform%3D%22Adria%22%5D%3B%20C%20%5Bform%3D%22polete%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	plačevala
Aerts <nsubj sledil >obj napadu	Aerts	sledil	napadu	1	3.7	ABC	"pattern {B [form=""sledil""]; A [form=""Aerts""]; C [form=""napadu""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sledil%22%5D%3B%20A%20%5Bform%3D%22Aerts%22%5D%3B%20C%20%5Bform%3D%22napadu%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	sledil
Alex <nsubj ustrelil >obj Willa	Alex	ustrelil	Willa	1	3.7	ABC	"pattern {B [form=""ustrelil""]; A [form=""Alex""]; C [form=""Willa""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ustrelil%22%5D%3B%20A%20%5Bform%3D%22Alex%22%5D%3B%20C%20%5Bform%3D%22Willa%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ustrelil
Ali <nsubj kuhala >obj fiks	Ali	kuhala	fiks	1	3.7	ABC	"pattern {B [form=""kuhala""]; A [form=""Ali""]; C [form=""fiks""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22kuhala%22%5D%3B%20A%20%5Bform%3D%22Ali%22%5D%3B%20C%20%5Bform%3D%22fiks%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	kuhala
Ali <nsubj pogledala >obj čarodejko	Ali	pogledala	čarodejko	1	3.7	ABC	"pattern {B [form=""pogledala""]; A [form=""Ali""]; C [form=""čarodejko""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pogledala%22%5D%3B%20A%20%5Bform%3D%22Ali%22%5D%3B%20C%20%5Bform%3D%22%C4%8Darodejko%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	pogledala
Ali <nsubj slišala >obj Keza	Ali	slišala	Keza	1	3.7	ABC	"pattern {B [form=""slišala""]; A [form=""Ali""]; C [form=""Keza""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sli%C5%A1ala%22%5D%3B%20A%20%5Bform%3D%22Ali%22%5D%3B%20C%20%5Bform%3D%22Keza%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	slišala
Ali <nsubj srečala >obj čarodejke	Ali	srečala	čarodejke	1	3.7	ABC	"pattern {B [form=""srečala""]; A [form=""Ali""]; C [form=""čarodejke""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22sre%C4%8Dala%22%5D%3B%20A%20%5Bform%3D%22Ali%22%5D%3B%20C%20%5Bform%3D%22%C4%8Darodejke%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	srečala
Alice <nsubj izgubi >obj službo	Alice	izgubi	službo	1	3.7	ABC	"pattern {B [form=""izgubi""]; A [form=""Alice""]; C [form=""službo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22izgubi%22%5D%3B%20A%20%5Bform%3D%22Alice%22%5D%3B%20C%20%5Bform%3D%22slu%C5%BEbo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	izgubi
Alkohol <nsubj ojači >obj delovanje	Alkohol	ojači	delovanje	1	3.7	ABC	"pattern {B [form=""ojači""]; A [form=""Alkohol""]; C [form=""delovanje""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22oja%C4%8Di%22%5D%3B%20A%20%5Bform%3D%22Alkohol%22%5D%3B%20C%20%5Bform%3D%22delovanje%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ojači
Alkohol <nsubj škoduje >obj jetrom	Alkohol	škoduje	jetrom	1	3.7	ABC	"pattern {B [form=""škoduje""]; A [form=""Alkohol""]; C [form=""jetrom""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22%C5%A1koduje%22%5D%3B%20A%20%5Bform%3D%22Alkohol%22%5D%3B%20C%20%5Bform%3D%22jetrom%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	škoduje
Alma <nsubj bolezni <obj poznala	Alma	bolezni	poznala	1	3.7	ABC	"pattern {C [form=""poznala""]; A [form=""Alma""]; B [form=""bolezni""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22poznala%22%5D%3B%20A%20%5Bform%3D%22Alma%22%5D%3B%20B%20%5Bform%3D%22bolezni%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	poznala
Američan <nsubj služil >obj kruh	Američan	služil	kruh	1	3.7	ABC	"pattern {B [form=""služil""]; A [form=""Američan""]; C [form=""kruh""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22slu%C5%BEil%22%5D%3B%20A%20%5Bform%3D%22Ameri%C4%8Dan%22%5D%3B%20C%20%5Bform%3D%22kruh%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	služil
Američani <nsubj podpirajo >obj zamisel	Američani	podpirajo	zamisel	1	3.7	ABC	"pattern {B [form=""podpirajo""]; A [form=""Američani""]; C [form=""zamisel""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22podpirajo%22%5D%3B%20A%20%5Bform%3D%22Ameri%C4%8Dani%22%5D%3B%20C%20%5Bform%3D%22zamisel%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	podpirajo
Američani <nsubj porabijo >obj milijard	Američani	porabijo	milijard	1	3.7	ABC	"pattern {B [form=""porabijo""]; A [form=""Američani""]; C [form=""milijard""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22porabijo%22%5D%3B%20A%20%5Bform%3D%22Ameri%C4%8Dani%22%5D%3B%20C%20%5Bform%3D%22milijard%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	porabijo
Američani <nsubj razširili >obj pojem	Američani	razširili	pojem	1	3.7	ABC	"pattern {B [form=""razširili""]; A [form=""Američani""]; C [form=""pojem""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22raz%C5%A1irili%22%5D%3B%20A%20%5Bform%3D%22Ameri%C4%8Dani%22%5D%3B%20C%20%5Bform%3D%22pojem%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	razširili
Amfetamin <nsubj povzročijo >obj psihoze	Amfetamin	povzročijo	psihoze	1	3.7	ABC	"pattern {B [form=""povzročijo""]; A [form=""Amfetamin""]; C [form=""psihoze""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22povzro%C4%8Dijo%22%5D%3B%20A%20%5Bform%3D%22Amfetamin%22%5D%3B%20C%20%5Bform%3D%22psihoze%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	povzročijo
Andraž <nsubj doživel >obj razočaranje	Andraž	doživel	razočaranje	1	3.7	ABC	"pattern {B [form=""doživel""]; A [form=""Andraž""]; C [form=""razočaranje""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22do%C5%BEivel%22%5D%3B%20A%20%5Bform%3D%22Andra%C5%BE%22%5D%3B%20C%20%5Bform%3D%22razo%C4%8Daranje%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	doživel
Andreas <nsubj objavil >obj razmišljanje	Andreas	objavil	razmišljanje	1	3.7	ABC	"pattern {B [form=""objavil""]; A [form=""Andreas""]; C [form=""razmišljanje""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22objavil%22%5D%3B%20A%20%5Bform%3D%22Andreas%22%5D%3B%20C%20%5Bform%3D%22razmi%C5%A1ljanje%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	objavil
Andreja <nsubj dobila >obj pohvalo	Andreja	dobila	pohvalo	1	3.7	ABC	"pattern {B [form=""dobila""]; A [form=""Andreja""]; C [form=""pohvalo""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobila%22%5D%3B%20A%20%5Bform%3D%22Andreja%22%5D%3B%20C%20%5Bform%3D%22pohvalo%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobila
